Counties,FIPS County Codes,State,Crime Index,Median Income,income normalized,Location Affordability,Unemployment,UniqueID,MONEYMOVES,,Crime Weight,Income Weight,Affordability Weight,Unemployment Weight
Jeff Davis County,13161,Georgia,73,37267,0.86670755,68.8544086,14.2,1360,0.9980224122,,,,,
Montgomery County,13209,Georgia,61,40308,0.9374311838,56.0795153,8.8,1414,0.9935897667,,,,,
White County,13311,Georgia,120,43944,1.021992556,64.6952867,8.4,2585,0.9919515663,,,,,
Banks County,13011,Georgia,95,42182,0.9810142452,61.3219188,7,2545,0.9904326093,,,,,
Hart County,13147,Georgia,102,41216,0.9585482701,64.8884333,13.8,2555,0.9816363669,,,,,
Glynn County,13127,Georgia,148,47546,1.1057632,62.0226392,9.7,1409,0.9800669061,,,,,
Peach County,13225,Georgia,109,43645,1.015038802,60.0768577,18.1,1395,0.9788591641,,,,,
Macon County,13189,Georgia,91,40469,0.941175513,62.7490496,16.3,1393,0.9770533779,,,,,
Worth County,13321,Georgia,80,40369,0.9388498427,59.5139,13.6,1401,0.97701034,,,,,
Schley County,13249,Georgia,50,41267,0.9597343619,47.23144,14.1,1396,0.97510591,,,,,
Wilcox County,13315,Georgia,43,35457,0.8246129176,59.9079629,10.9,1367,0.9686470012,,,,,
Bleckley County,13023,Georgia,85,40688,0.9462687309,58.9067113,12.5,1355,0.9680135364,,,,,
Tattnall County,13267,Georgia,63,36355,0.8454974369,63.2186942,10.1,1416,0.9645489611,,,,,
Treutlen County,13283,Georgia,54,39375,0.9157326799,51.1769285,13.8,1418,0.9582249815,,,,,
Appling County,13001,Georgia,77,37089,0.8625678569,63.8074854,10,1402,0.9519190991,,,,,
Echols County,13101,Georgia,62,34315,0.7980537628,66.3624194,8.7,1380,0.9502825304,,,,,
Union County,13291,Georgia,106,42767,0.9946194164,56.7980078,8.6,2584,0.9468846401,,,,,
Liberty County,13179,Georgia,122,43493,1.011503783,59.8524876,11.9,1411,0.946496169,,,,,
Rabun County,13241,Georgia,115,39297,0.9139186571,68.9373483,13,2597,0.945549485,,,,,
Talbot County,13263,Georgia,56,37226,0.8657540252,55.6558535,11,1350,0.9445184855,,,,,
Evans County,13109,Georgia,90,38736,0.9008716467,61.8764239,11.9,1408,0.9412571959,,,,,
Miller County,13201,Georgia,71,37255,0.8664284696,59.8567972,7.8,1314,0.9411653975,,,,,
Wilkinson County,13319,Georgia,77,38711,0.9002902291,57.5273096,14.6,1368,0.9393678228,,,,,
Butts County,13035,Georgia,97,39655,0.9222445567,60.9003838,10.4,2564,0.9365425778,,,,,
Chattooga County,13055,Georgia,51,35718,0.8306829171,56.8106374,13.1,2301,0.9352410667,,,,,
Towns County,13281,Georgia,101,41182,0.9577575422,56.7840007,8.3,2583,0.928266423,,,,,
Wayne County,13305,Georgia,106,41534,0.9659439016,57.3516539,12.9,1419,0.9278378857,,,,,
Berrien County,13019,Georgia,64,38297,0.8906619541,52.6397905,12.1,1354,0.9266391596,,,,,
Bulloch County,13031,Georgia,93,39305,0.9141047107,59.0761645,12.1,1405,0.9263400136,,,,,
Grady County,13131,Georgia,73,39462,0.9177560131,51.5648943,11.9,1381,0.9214904834,,,,,
Screven County,13251,Georgia,76,36556,0.8501720342,58.7664952,16.4,1301,0.9100742058,,,,,
Brooks County,13027,Georgia,91,34890,0.811426367,67.9221736,9.5,1378,0.9089444379,,,,,
Decatur County,13087,Georgia,105,36934,0.8589630679,66.6293806,16.7,1299,0.9077898219,,,,,
Thomas County,13275,Georgia,127,41336,0.9613390744,61.0793964,12.1,1384,0.9041441887,,,,,
McIntosh County,13197,Georgia,93,39015,0.9073602668,55.5880989,10,1413,0.8973507734,,,,,
Lincoln County,13181,Georgia,86,37711,0.8770335261,56.3928022,11.4,2634,0.8937864974,,,,,
Lamar County,13171,Georgia,109,41157,0.9571761246,54.1937528,11.3,2570,0.8930074467,,,,,
Seminole County,13253,Georgia,76,33999,0.7907046447,63.2178501,10.3,1302,0.8929501533,,,,,
Dooly County,13093,Georgia,63,33389,0.7765180559,60.4457503,10.7,1389,0.8909270267,,,,,
Johnson County,13167,Georgia,73,36423,0.8470788927,55.3447441,12.5,1361,0.8909060635,,,,,
Troup County,13285,Georgia,137,43597,1.01392248,56.0840753,12.8,2214,0.8905470558,,,,,
Polk County,13233,Georgia,121,40652,0.9454314896,58.5492406,12.7,2310,0.8872971514,,,,,
Stephens County,13257,Georgia,103,39756,0.9245934837,55.0026961,10.8,2598,0.8855220801,,,,,
Lanier County,13173,Georgia,45,31109,0.7234927731,59.9770677,9.7,1382,0.8844118458,,,,,
Webster County,13307,Georgia,76,36658,0.8525442179,54.4842446,12.9,1351,0.8829530459,,,,,
Washington County,13303,Georgia,99,38097,0.8860106135,57.8501949,19.5,2580,0.8827625268,,,,,
Marion County,13193,Georgia,64,30851,0.7174925437,66.2578754,9.6,1347,0.881215461,,,,,
Franklin County,13119,Georgia,87,39246,0.9127325652,50.55967,11.8,2552,0.8804984778,,,,,
Atkinson County,13003,Georgia,61,33063,0.7689363707,59.0461201,17.8,1352,0.8797315341,,,,,
Lowndes County,13185,Georgia,126,39911,0.9281982727,60.987535,9.3,1383,0.8793313727,,,,,
Cook County,13075,Georgia,94,35539,0.8265199673,62.6971228,13.1,1357,0.8790813657,,,,,
Mitchell County,13205,Georgia,77,34122,0.7935652191,60.7811347,10.9,1394,0.8765621524,,,,,
Spalding County,13255,Georgia,153,42398,0.986037693,60.2092915,16.4,2576,0.8618200462,,,,,
Burke County,13033,Georgia,116,38707,0.9001972023,57.9748134,15.2,2630,0.8582267005,,,,,
Taylor County,13269,Georgia,63,29875,0.6947940016,65.1130331,15.1,1398,0.8575715749,,,,,
Clayton County,13063,Georgia,172,44106,1.025760142,60.9638924,12.9,2207,0.8575398524,,,,,
Upson County,13293,Georgia,94,35375,0.822705868,59.3476608,13.7,2578,0.8533606205,,,,,
Twiggs County,13289,Georgia,65,30629,0.7123295556,62.8494702,15.5,1365,0.8518667098,,,,,
Irwin County,13155,Georgia,85,34677,0.8064726893,57.9897433,17,1359,0.850664339,,,,,
Meriwether County,13199,Georgia,95,36368,0.845799774,56.1212735,16.3,2212,0.8477090503,,,,,
Wilkes County,13317,Georgia,105,34234,0.7961699699,64.7936806,10.5,2561,0.8454346714,,,,,
Baldwin County,13009,Georgia,106,37008,0.8606840639,57.4033003,16.8,2563,0.8445061563,,,,,
Richmond County,13245,Georgia,132,39430,0.9170117986,58.6933814,13.6,2636,0.8419597972,,,,,
Pulaski County,13235,Georgia,82,38750,0.9011972405,44.4094067,10.7,1363,0.8404491858,,,,,
Wheeler County,13309,Georgia,45,28490,0.6625834679,59.2694478,9.7,1366,0.8311956829,,,,,
Dodge County,13091,Georgia,96,35290,0.8207290482,55.9279132,11,1358,0.8243116713,,,,,
Ware County,13299,Georgia,120,36962,0.8596142556,58.3869685,12.6,1432,0.8201296248,,,,,
Terrell County,13273,Georgia,80,32219,0.7493077134,58.2334201,12.9,1317,0.8176506513,,,,,
Candler County,13043,Georgia,89,33125,0.7703782863,58.5452622,11.1,1406,0.8171067711,,,,,
Laurens County,13175,Georgia,114,35202,0.8186824584,60.5078207,12.2,1362,0.8148932681,,,,,
Coffee County,13069,Georgia,109,36572,0.8505441414,55.0279578,18,1356,0.8138857456,,,,,
Randolph County,13243,Georgia,64,30640,0.7125853794,55.6834204,16.3,1316,0.805685178,,,,,
Bibb County,13021,Georgia,139,38183,0.8880106899,58.0620345,12.6,1385,0.799532712,,,,,
Emanuel County,13107,Georgia,105,33089,0.769541045,61.0886851,10.5,1407,0.7991678322,,,,,
Colquitt County,13071,Georgia,110,34503,0.802426023,56.6362328,11.9,1386,0.7843695801,,,,,
Warren County,13301,Georgia,109,32860,0.76421526,60.3499645,21.6,2579,0.7813044153,,,,,
Elbert County,13105,Georgia,111,35207,0.8187987419,54.4474562,13,2550,0.7804032182,,,,,
Toombs County,13279,Georgia,134,35750,0.8314271316,60.04837,10.5,1417,0.7787856472,,,,,
Muscogee County,13215,Georgia,197,43239,1.00559658,59.0911416,11.8,1348,0.7749149396,,,,,
Calhoun County,13037,Georgia,57,29617,0.6887937722,51.651483,13,1311,0.7745539678,,,,,
Tift County,13277,Georgia,156,38728,0.9006855931,57.4637867,12.4,1399,0.7688985545,,,,,
Taliaferro County,13265,Georgia,106,30500,0.7093294409,62.6404962,16.7,2577,0.7596548714,,,,,
Clarke County,13059,Georgia,126,34557,0.8036818849,57.657073,10.8,2547,0.75778101,,,,,
Ben Hill County,13017,Georgia,112,32344,0.7522148012,58.4406062,15,1353,0.7523613552,,,,,
Early County,13099,Georgia,99,29493,0.685909941,58.044632,12.5,1313,0.7249995673,,,,,
Jenkins County,13165,Georgia,89,27197,0.632512551,58.3788327,24,1410,0.7063761539,,,,,
Sumter County,13261,Georgia,169,34219,0.7958211193,64.6476729,15.2,1397,0.70616058,,,,,
Jefferson County,13163,Georgia,98,29640,0.6893286764,54.097644,17.9,2633,0.7031377836,,,,,
Telfair County,13271,Georgia,66,28044,0.6522109784,48.1261111,15.2,1364,0.7021831974,,,,,
Hancock County,13141,Georgia,88,29268,0.6806771829,51.6707702,26.5,2566,0.7013844322,,,,,
Crisp County,13081,Georgia,150,33194,0.7719829988,55.7998965,14.6,1388,0.6682473819,,,,,
Stewart County,13259,Georgia,70,22413,0.5212524839,54.0666044,14.2,1349,0.6296853371,,,,,
Dougherty County,13095,Georgia,191,34541,0.8033097777,59.4781741,15.8,1390,0.6296568314,,,,,
Clay County,13061,Georgia,120,23315,0.54223003,55.282083,10.3,1312,0.5467773379,,,,,
Clinch County,13065,Georgia,104,21838,0.5078798797,51.86926,10.9,1379,0.5308531709,,,,,
Quitman County,13239,Georgia,133,26750,0.6221168048,39.7157666,14.2,1315,0.4768116191,,,,,
