OBJECTID,ID,NAME,STATE_NAME,ST_ABBREV,UniqueID,UNEMPRT_CY,POPGRW00CY,Observed,Cond,LocalR2,Predicted,Intercept,C1_Pop_Change,Residual,StdError,Correlation,ColorRGB,ColorHex,Shape__Area,Shape__Length
1297,13029,Bryan County,Georgia,GA,1297,8.300000000000001,3.580000000000000,8.300000000000001,2.557640595759565,0.269094024560254,8.144533605138822,13.342421989968305,-1.451924129840638,0.155466394861179,1.830152380473669,weakly negative,"223,170,88",DFAA58,1619791084.412109375000000,331882.543779724568594
1298,13051,Chatham County,Georgia,GA,1298,10.600000000000000,1.080000000000000,10.600000000000000,2.544351850675421,0.331030941732089,12.102090064387909,13.892811927590955,-1.658075799262079,-1.502090064387909,2.251435900916421,weakly negative,"223,170,88",DFAA58,1733206651.644531250000000,375646.600579000602011
1299,13087,Decatur County,Georgia,GA,1299,16.699999999999999,0.490000000000000,16.699999999999999,1.775345655827451,0.092922570773986,11.525189752246460,11.959198690606758,-0.885732527265916,5.174810247753539,2.251770177713074,weak,"231,228,187",E7E4BB,2198050298.007812500000000,208900.532261387939798
1300,13103,Effingham County,Georgia,GA,1300,10.199999999999999,3.650000000000000,10.199999999999999,2.205799147061485,0.419747968571871,7.295075288350127,15.479437383236812,-2.242290984900462,2.904924711649873,1.857466334595740,weakly negative,"223,170,88",DFAA58,1757363911.634765625000000,246661.836519206495723
1301,13251,Screven County,Georgia,GA,1301,16.399999999999999,0.040000000000000,16.399999999999999,1.797869944570238,0.493119558627270,16.814408865635890,16.931509098873327,-2.927505830935943,-0.414408865635892,2.208198643574377,negative,"221,91,59",DD5B3B,2407227793.685546875000000,274899.859502947656438
1302,13253,Seminole County,Georgia,GA,1302,10.300000000000001,-0.040000000000000,10.300000000000001,1.714823542733371,0.108544876091792,11.948338872621820,11.909462130269780,-0.971918558800968,-1.648338872621819,2.223136962546809,weak,"231,228,187",E7E4BB,906218438.822265625000000,155537.916365338227479
1310,13007,Baker County,Georgia,GA,1310,13.600000000000000,-0.170000000000000,13.600000000000000,1.186789215553727,0.107898409552799,12.781220823214802,12.621059481595847,-0.942125538935032,0.818779176785197,2.244161379329455,weak,"231,228,187",E7E4BB,1243152513.464843750000000,221666.780482905567624
1311,13037,Calhoun County,Georgia,GA,1311,13.000000000000000,-0.120000000000000,13.000000000000000,1.058151069976516,0.093440258359496,12.884441762153051,12.782706279136406,-0.847795691805382,0.115558237846949,2.267898381559483,weak,"231,228,187",E7E4BB,1014200435.814453125000000,177828.181364958087215
1312,13061,Clay County,Georgia,GA,1312,10.300000000000001,-0.340000000000000,10.300000000000001,1.011448856613458,0.067124293907351,13.076142710432283,12.796595873933228,-0.822196577938394,-2.776142710432282,2.245481956985489,weak,"231,228,187",E7E4BB,777369075.664062500000000,158996.647186904679984
1313,13099,Early County,Georgia,GA,1313,12.500000000000000,-0.580000000000000,12.500000000000000,1.132265799075816,0.080696212330405,12.879439363028917,12.330898640062006,-0.945759867184329,-0.379439363028917,2.158610016332762,weak,"231,228,187",E7E4BB,1838388771.023437500000000,229636.244379568059230
1314,13201,Miller County,Georgia,GA,1314,7.800000000000000,-0.390000000000000,7.800000000000000,1.299538199801629,0.062915780743469,12.552734976127153,12.226356605776729,-0.836867616283137,-4.752734976127154,2.178122806085049,weak,"231,228,187",E7E4BB,1006619418.730468750000000,137847.918757497944171
1315,13239,Quitman County,Georgia,GA,1315,14.199999999999999,0.310000000000000,14.199999999999999,1.008836586344632,0.058331888048140,13.065434070589372,13.291222873845697,-0.728350978246210,1.134565929410627,2.229385956533195,weak,"231,228,187",E7E4BB,579655202.199218750000000,114191.709648331641802
1316,13243,Randolph County,Georgia,GA,1316,16.300000000000001,-0.800000000000000,16.300000000000001,1.003900770167577,0.058102497864255,13.601888771217061,13.090521547569429,-0.639209029559541,2.698111228782940,2.167522127052735,weak,"231,228,187",E7E4BB,1548262924.126953125000000,197453.284446253965143
1317,13273,Terrell County,Georgia,GA,1317,12.900000000000000,-0.400000000000000,12.900000000000000,1.070840820322800,0.136711596465922,13.561863072491768,13.208993506694341,-0.882173914493566,-0.661863072491768,2.232950293957845,weak,"231,228,187",E7E4BB,1213625782.388671875000000,177854.574957180448109
1345,13053,Chattahoochee County,Georgia,GA,1345,17.800000000000001,1.430000000000000,17.800000000000001,1.386609762969606,0.093247664557884,12.414844127602736,13.624709577484973,-0.846059755162404,5.385155872397265,2.096560400480695,weak,"231,228,187",E7E4BB,914735595.707031250000000,172836.512160086276708
1346,13145,Harris County,Georgia,GA,1346,7.500000000000000,2.640000000000000,7.500000000000000,1.902224903432576,0.244537625140000,10.672791026441706,14.155064625878801,-1.319043030089808,-3.172791026441706,1.877418252280897,weakly negative,"223,170,88",DFAA58,1735375174.503906250000000,193985.559185323829297
1347,13197,Marion County,Georgia,GA,1347,9.600000000000000,-0.120000000000000,9.600000000000000,1.455129879055205,0.073053562637786,13.539850195046856,13.454317409584117,-0.712773212189496,-3.939850195046857,2.228542491287148,weak,"231,228,187",E7E4BB,1337551839.605468750000000,184239.692570571642136
1348,13215,Muscogee County,Georgia,GA,1348,11.800000000000001,0.060000000000000,11.800000000000001,1.566224126355170,0.159026015525334,13.853593665325427,13.921313634224742,-1.128666148321913,-2.053593665325426,2.222509329083737,weak,"231,228,187",E7E4BB,807286458.644531250000000,157485.908049394434784
1349,13259,Stewart County,Georgia,GA,1349,14.199999999999999,-1.030000000000000,14.199999999999999,1.137403790171710,0.064218400782686,14.185772710572104,13.493230089521429,-0.672371476748229,0.014227289427895,2.056089652487088,weak,"231,228,187",E7E4BB,1676120449.996093750000000,196032.631895158818224
1350,13263,Talbot County,Georgia,GA,1350,11.000000000000000,0.020000000000000,11.000000000000000,1.959577828580838,0.137281880932787,13.518284907323613,13.536934981772184,-0.932503722428579,-2.518284907323613,2.193330869224779,weak,"231,228,187",E7E4BB,1447709344.839843750000000,200965.175849646067945
1351,13307,Webster County,Georgia,GA,1351,12.900000000000000,-0.740000000000000,12.900000000000000,1.181398085425239,0.080984901769254,13.938681136453829,13.415982023307173,-0.706350152900887,-1.038681136453828,2.183506485549888,weak,"231,228,187",E7E4BB,760194657.031250000000000,141722.337232342280913
1352,13003,Atkinson County,Georgia,GA,1352,17.800000000000001,0.840000000000000,17.800000000000001,3.037177512793574,0.038210340573786,12.594256491525311,13.548599770934850,-1.136122951678022,5.205743508474690,2.238562106830205,weak,"231,228,187",E7E4BB,1225316066.896484375000000,196256.558400501729921
1353,13017,Ben Hill County,Georgia,GA,1353,15.000000000000000,0.080000000000000,15.000000000000000,2.188452992558175,0.029375312552216,13.561064891070675,13.621790569931676,-0.759070985762521,1.438935108929325,2.188603601227763,weak,"231,228,187",E7E4BB,912784225.912109375000000,168563.483550004457356
1354,13019,Berrien County,Georgia,GA,1354,12.100000000000000,0.540000000000000,12.100000000000000,2.557528463428508,0.060620698888154,12.945683887468240,13.603236790921272,-1.217690561950060,-0.845683887468240,2.256001956139054,weakly negative,"223,170,88",DFAA58,1628034869.615234375000000,228222.185371671163011
1355,13023,Bleckley County,Georgia,GA,1355,12.500000000000000,0.950000000000000,12.500000000000000,1.986166299107503,0.163061028964052,12.251758320932561,13.709605434936137,-1.534575909477447,0.248241679067439,2.207807963057005,weakly negative,"223,170,88",DFAA58,799038466.496093750000000,135236.849229541898239
1356,13069,Coffee County,Georgia,GA,1356,18.000000000000000,0.840000000000000,18.000000000000000,2.986562174335489,0.011417505478353,12.821039291520183,13.367147291829752,-0.650128571797106,5.178960708479817,2.229132645359570,weak,"231,228,187",E7E4BB,2155147855.166015625000000,249094.822199318325147
1357,13075,Cook County,Georgia,GA,1357,13.100000000000000,0.560000000000000,13.100000000000000,2.445414718354163,0.108351040960846,12.576943938429890,13.382644519400444,-1.438751037447418,0.523056061570109,2.255694925678042,weakly negative,"223,170,88",DFAA58,827411928.425781250000000,162316.340427063318202
1358,13091,Dodge County,Georgia,GA,1358,11.000000000000000,0.350000000000000,11.000000000000000,2.124500678608797,0.072034097176855,12.875819296282151,13.258970297242058,-1.094717145599736,-1.875819296282151,2.231110078153050,weak,"231,228,187",E7E4BB,1823852130.199218750000000,245618.861992092512082
1359,13155,Irwin County,Georgia,GA,1359,17.000000000000000,0.270000000000000,17.000000000000000,2.190057903150856,0.029778036794564,13.587042634039273,13.793259199345247,-0.763765056688789,3.412957365960727,2.227994784341631,weak,"231,228,187",E7E4BB,1299300379.175781250000000,189291.944082902366063
1360,13161,Jeff Davis County,Georgia,GA,1360,14.199999999999999,0.550000000000000,14.199999999999999,3.222065976319534,0.003761129919822,12.509112445855827,12.710851303154653,-0.366797922361502,1.690887554144172,2.251078769147908,weak,"231,228,187",E7E4BB,1206508378.646484375000000,189085.791680175607326
