CNTY_FIPS,Housing and transportation costs as a percent of income for Median-Income Family households
13313,67.98591334
13121,65.85644981
13135,66.2405579
13135,47.53058084
13015,48.07442271
13015,45.36144716
13059,47.1445574
13215,55.66790042
13059,46.31615315
13067,54.82530397
13215,56.82183627
13215,51.92429102
13215,53.32230252
13059,55.73850427
13117,57.83295419
13117,40.36314965
13215,51.86288559
13069,51.34876439
13139,56.12591616
13151,53.78281042
13151,61.03656861
13151,62.15693455
13151,59.17675455
13151,53.09498811
13151,61.68747866
13151,101.8455083
13135,58.01676922
13021,52.07290812
13313,72.72222195
13313,71.43244801
13313,64.36795271
13313,69.38742241
13313,65.6091953
13313,58.0578879
13015,58.30083152
13015,58.31363052
13015,47.8639939
13117,48.4448631
13117,61.03417088
13117,57.34772156
13051,59.00779305
13069,56.32984541
13069,52.15256499
13069,59.4544867
13069,59.20022117
13267,54.2265987
13267,57.66363574
13135,56.90261953
13135,46.86240078
13135,48.55151029
13313,48.30488603
13153,67.912853
13153,67.23875514
13153,75.86336817
13153,76.11386733
13153,75.23589399
13295,74.96560146
13151,70.03340275
13139,47.58921609
13151,48.1296143
13067,42.5016596
13257,48.61016599
13257,45.85530771
13215,51.72264047
13215,71.16848941
13059,72.9899605
13059,74.06030028
13059,75.08171905
13069,59.33861174
13127,60.98495363
13135,53.15607666
13135,50.10045788
13135,52.26611335
13215,58.94682325
13215,69.46417072
13067,61.38479944
13067,61.72751371
13215,51.653309
13215,52.53554503
13117,51.20564539
13117,52.52021287
13021,45.14193962
13021,58.67457741
13239,39.71576662
13121,52.85933185
13089,49.2984957
13089,52.62739933
13089,47.59893925
13089,51.01555945
13089,55.12938672
13121,51.39908217
13121,54.34733486
13121,58.50564871
13121,60.15738118
13295,64.11293795
13295,63.81928174
13051,52.23122642
13051,52.3418174
13051,50.6405717
13069,48.60810312
13069,49.20674116
13051,47.81287896
13051,42.41496794
13051,42.36438287
13067,41.31558976
13067,42.13365005
13139,41.04043363
13215,57.7402023
13135,56.89422665
13135,57.74498045
13089,55.51602685
13089,53.32744922
13215,61.24907904
13061,55.28208302
13145,61.52592054
13295,58.76757307
13251,58.78710193
13251,60.2814276
13149,60.35534899
13149,61.3729253
13145,59.8020502
13145,62.39473557
13145,51.67016133
13067,49.89663073
13139,49.96338702
13215,69.02465661
13215,54.6320969
13081,55.18941688
13097,57.61642276
13117,57.52687726
13117,57.18950474
13051,58.73067508
13005,57.44246481
13051,62.25482314
13121,59.63471945
13097,57.46323621
13135,57.39826381
13135,52.24091228
13287,69.43526078
13287,58.72769921
13215,55.29081828
13149,58.91030752
13017,63.7114925
13017,56.81407168
13017,55.43159636
13139,63.45612926
13121,70.83943313
13121,69.95569497
13215,70.52747156
13215,68.44019323
13215,57.64015195
13215,54.45626562
13199,54.87235374
13199,59.69863734
13245,61.32284565
13245,56.68925163
13245,61.64000093
13245,57.67162042
13183,57.61422458
13089,63.882226
13089,63.90298914
13089,63.68367745
13089,55.93213719
13209,57.98547071
13277,68.93814631
13153,51.89533993
13153,56.91419681
13313,59.58150329
13313,59.05905396
13313,55.70497134
13313,58.70708776
13049,61.29746634
13027,74.09091631
13027,92.35333038
13097,90.9609645
13097,61.84711831
13097,50.89248267
13117,59.86868158
13117,67.79985199
13139,67.52653584
13089,68.75436097
13051,48.24034747
13095,53.59711708
13145,53.63566765
13141,52.62550899
13033,57.24652188
13033,51.37040395
13033,49.66709448
13135,57.49040656
13313,61.14568308
13051,60.5078557
13121,60.21679992
13295,51.07444079
13295,49.86831274
13251,52.85954451
13027,60.65258786
13049,50.61157099
13037,49.99237497
13037,53.31059113
13027,58.33794747
13191,55.63058565
13191,59.30674342
13121,59.73456224
13121,60.98154597
13095,59.65584176
13135,73.5833212
13127,69.75628087
13127,80.92005423
13051,46.32209677
13071,59.91260306
13063,50.81384081
13117,58.28166569
13117,62.65368526
13215,55.66459724
13119,59.56557734
13119,47.61526052
13301,48.37017307
13125,45.35713668
13251,65.28406473
13277,68.07734916
13277,66.08134128
13277,50.6596599
13027,54.17608597
13215,52.48093813
13117,55.07226564
13117,55.62775896
13215,59.68587537
13215,72.31887797
13059,58.82200934
13073,53.89830275
13117,55.50880681
13117,60.12960424
13117,61.06757626
13095,52.87818312
13121,52.90598326
13121,61.96531606
13121,55.6323816
13121,45.42849278
13139,48.54960255
13139,56.10474032
13209,54.7021287
13209,55.55094663
13135,51.52259325
13097,55.34480691
13089,62.97693056
13089,64.59243464
13097,58.30278583
13277,59.3523273
13277,53.78537692
13277,57.19494315
13121,53.24784587
13121,56.22707837
13313,56.04808013
13215,54.41041057
13029,56.68015131
13151,59.67410913
13215,60.69359109
13093,63.22672216
13093,63.3763185
13093,54.73421022
13215,59.29204112
13215,55.79441229
13059,55.891556
13117,52.91279023
13117,57.15447589
13117,54.41507007
13135,55.72255083
13135,72.02102271
13121,69.46085126
13139,71.09766439
13139,57.78981416
13135,54.12091367
13033,59.54006171
13033,61.82943467
13029,59.98976727
13135,59.9432407
13295,50.80205162
13295,48.32952223
13277,41.62335497
13277,51.46158088
13121,45.43803813
13059,52.84924627
13059,50.16267596
13059,50.54225015
13059,51.282091
13117,58.57888121
13117,63.36857885
13117,54.24141248
13105,56.16938524
13105,54.08762957
13245,58.90249901
13045,68.38108149
13237,65.88570721
13075,68.29644369
13155,60.96175897
13121,68.5781362
13121,48.17114984
13135,47.53313219
13135,57.26142093
13295,49.38018509
13295,48.44244669
13251,56.62033715
13139,41.43131112
13117,43.21516612
13117,45.9062138
13117,45.40289222
13151,44.73488535
13151,45.0630873
13151,49.42036456
13309,58.01588779
13059,57.28273585
13059,50.97956348
13117,60.38858654
13031,60.40067293
13031,52.63413453
13117,48.6290376
13117,56.45337603
13117,53.09459574
13135,53.9067197
13135,49.53432476
13135,62.8601085
13135,59.78373762
13139,55.46702855
13139,54.84236323
13139,57.61754043
13155,55.01772761
13313,61.05082975
13313,54.54793884
13313,55.03080142
13255,56.92368751
13177,54.50309237
13321,56.05912717
13235,52.76415044
13235,44.71249918
13235,35.75157036
13053,48.52074015
13117,53.19446872
13117,44.91856877
13215,44.59229325
13135,43.12706209
13135,59.98309181
13063,56.0348011
13059,60.63690177
13059,56.78525602
13117,54.23066171
13139,52.48168535
13045,52.5767868
13285,62.40454622
13285,50.61579861
13321,54.40540143
13321,55.97130853
13153,59.31532558
13153,55.07602417
13153,54.52103414
13153,57.25767625
13113,54.54445263
13113,52.00013447
13113,53.70906436
13121,59.09442287
13121,56.33107158
13121,54.98091945
13121,63.67414628
13121,66.16167051
13135,56.33416699
13135,51.93702446
13117,49.66100095
13117,47.53532868
13051,55.773957
13051,56.10570492
13051,55.50810873
13051,59.75244318
13051,56.0445071
13309,60.52300783
13051,55.2820516
13095,52.8783421
13121,50.82638627
13137,53.88297922
13137,44.10243685
13151,53.62271311
13151,51.88540953
13107,54.84295117
13107,59.34509832
13135,55.35330316
13295,60.56074596
13015,55.38350202
13015,54.97228227
13015,62.18618337
13015,60.72601304
13015,70.71139958
13113,70.86718806
13067,61.82276445
13059,62.1015467
13059,63.1671771
13215,62.5734672
13117,56.41605602
13059,52.73952972
13059,53.81571524
13059,53.61097264
13151,53.70217687
13117,57.71622293
13117,50.72028533
13133,56.02288893
13135,58.39443724
13135,55.10585726
13059,58.99248236
13059,66.97434799
13231,68.42333814
13231,67.35204971
13135,65.6230103
13135,64.14807219
13007,67.28387547
13133,62.85904955
13121,69.02832343
13121,69.07915681
13121,74.86986169
13121,73.99603824
13121,62.61944946
13121,57.43825323
13121,59.70426657
13121,56.05190887
13121,47.31259451
13121,55.47403227
13185,41.00796511
13271,45.79740884
13053,41.76532755
13007,54.59029656
13097,58.91651296
13021,56.01509574
13097,51.88682555
13089,50.0008101
13073,62.31946728
13073,55.63761915
13073,55.75029144
13031,57.21334675
13053,57.89340015
13123,48.18593977
13133,53.45293334
13121,55.74007513
13121,49.78713036
13121,71.72865216
13089,56.44584655
13089,54.01897468
13089,51.52119427
13157,62.71635272
13281,58.84069039
13031,57.50844117
13031,64.12087833
13123,66.1604967
13123,
13123,
13157,61.64813557
13157,68.54747528
13157,67.01597933
13081,63.68764915
13135,72.93582866
13121,85.40020761
13121,64.20911712
13121,41.08801868
13121,48.3717074
13121,52.1416689
13121,45.98813233
13163,46.48941579
13031,47.65672847
13077,62.75488931
13077,62.15521537
13135,53.61024403
13021,53.49497805
13021,71.60727256
13089,46.92003566
13089,47.68579114
13089,54.8770825
13089,49.84938474
13135,59.19024917
13141,50.71603137
13185,55.73559634
13121,54.34477229
13163,53.18865793
13163,52.73079151
13079,56.34294492
13079,60.35566498
13205,60.22662915
13205,60.87240947
13205,61.35170462
13083,64.38201932
13089,66.83268047
13089,55.42109946
13089,51.84131764
13089,53.31025789
13157,51.36786346
13089,53.05341596
13089,60.81482589
13021,54.57245893
13021,59.14744069
13021,54.48143793
13021,62.04048235
13021,66.14543869
13077,66.68030761
13077,66.1603362
13121,57.0398475
13121,50.86437302
13123,55.62487955
13121,54.64536291
13121,55.64753223
13185,53.40497043
13121,54.10795597
13121,53.30074881
13097,54.81855826
13097,53.47823254
13097,66.07888993
13089,46.11128173
13081,43.64744355
13299,62.30281498
13273,51.23582319
13273,55.5378049
13269,54.06718867
13011,59.15418801
13011,55.47024016
13011,66.75799429
13011,63.90525282
13163,63.9817109
13121,66.56305814
13121,57.74136637
13121,57.23279203
13121,56.38981457
13121,46.59956108
13121,50.49361686
13121,54.10855449
13121,69.05254813
13121,71.74829771
13121,67.41942127
13021,55.94458082
13021,55.52303572
13121,47.01789582
13089,49.73510774
13089,44.01408342
13089,46.12431496
13089,52.71400387
13089,46.8288763
13249,46.77511496
13249,47.68776496
13115,49.9394819
13115,57.31773136
13115,47.45765761
13185,59.65811196
13185,56.66617907
13121,65.86338485
13121,67.39412665
13121,70.1203123
13121,49.9798837
13121,46.3764379
13121,47.23688856
13121,52.96724406
13121,54.76617896
13303,51.75500045
13303,66.78535774
13121,62.02985688
13121,68.14154391
13121,60.83406826
13315,64.44741617
13057,69.30395813
13191,71.38550336
13029,68.38887677
13089,79.76333143
13053,77.14005666
13269,78.37925606
13269,62.89265443
13273,65.84568711
13303,64.01994532
13303,64.93716699
13121,66.72018784
13243,57.95632894
13243,53.41051191
13153,48.67976476
13153,51.9486802
13153,56.69175557
13185,60.91085839
13185,54.45664871
13185,51.41654641
13185,65.64700881
13185,67.58215244
13121,57.75121419
13121,56.21282591
13121,55.93140691
13121,55.69069821
13223,53.74402512
13021,60.72987542
13021,65.82498317
13021,61.80314919
13021,57.60692044
13089,62.66281483
13089,66.03651361
13089,64.58660655
13089,65.79762218
13241,79.45660667
13153,72.45618719
13153,78.99758248
13073,64.73025479
13185,97.56150759
13267,97.57959938
13089,95.44928458
13089,58.31120137
13089,57.87409902
13089,40.92678624
13021,40.84284826
13021,49.16031253
13021,43.25792764
13021,45.83037041
13021,57.97257991
13245,54.80263992
13245,59.53246944
13245,67.77253205
13241,64.35722649
13089,64.50894541
13159,78.50141952
13097,60.75783997
13303,41.75350414
13119,41.37977375
13073,45.06242059
13073,44.64917063
13035,46.46909752
13121,39.22011384
13121,57.22680859
13089,59.29804861
13089,53.10057038
13121,58.53684774
13069,59.61228131
13121,57.84770561
13121,60.89337352
13241,74.80433368
13199,49.13657057
13119,53.50591584
13119,50.73182235
13089,55.04696162
13089,52.03526178
13089,52.43056289
13089,59.90958713
13089,56.28859696
13223,45.86789698
13121,52.31574433
13185,65.67692418
13185,65.41272766
13185,60.51473313
13185,58.7170117
13199,60.77753234
13089,48.61075513
13089,52.41795209
13089,47.72347028
13089,57.28643675
13089,57.26964421
13089,54.06555445
13223,63.12133274
13135,62.22176794
13135,59.69596545
13121,53.77204295
13051,75.4850793
13063,73.60233205
13073,61.53087251
13185,58.36828304
13089,58.08422763
13089,42.00295739
13021,67.01533551
13231,64.70433917
13231,60.0915814
13205,65.22607867
13205,56.22885161
13273,60.31436512
13121,59.45486813
13121,53.79204291
13121,49.67484267
13121,51.48907879
13019,51.02251654
13121,60.516391
13121,63.97282836
13223,63.09637094
13223,60.94099135
13089,44.26754979
13089,45.87341397
13089,63.38096239
13089,63.00442674
13135,66.50275829
13135,46.9729208
13067,48.31706012
13067,45.37020567
13221,54.99336487
13063,57.87418796
13063,61.51688012
13063,59.10294168
13135,55.699148
13135,54.31178942
13135,56.08717938
